JGB_number,maturity,c,N,r
320,730,0.1,100.002,0.098
321,730,0.1,100,0.1
322,730,0.1,100.003,0.098
323,730,0.1,100.007,0.096
324,730,0.1,100.011,0.094
325,730,0.1,100.058,0.07
326,730,0.1,100.105,0.047
327,730,0.1,100.078,0.06
328,730,0.1,99.948,0.126
329,730,0.2,100.097,0.151
330,730,0.2,100.106,0.146
331,730,0.1,99.945,0.127
332,730,0.1,99.975,0.112
333,730,0.1,100.012,0.093
334,730,0.1,100.01,0.094
335,730,0.1,100.027,0.086
336,730,0.1,100.01,0.094
337,730,0.1,100.033,0.083
338,730,0.1,100.052,0.073
339,730,0.1,100.034,0.082
340,730,0.1,100.02,0.089
341,730,0.1,100.026,0.086
342,730,0.1,100.031,0.084
343,730,0.1,100.066,0.066
344,730,0.1,100.065,0.067
345,730,0.1,100.051,0.074
346,730,0.1,100.174,0.012
347,730,0.1,100.189,0.005
348,730,0.1,100.207,-0.003
349,730,0.1,100.186,0.006
350,730,0.1,100.144,0.027
351,730,0.1,100.138,0.03
352,730,0.1,100.201,0
353,730,0.1,100.196,0.001
354,730,0.1,100.197,0.001
355,730,0.1,100.188,0.005
356,730,0.1,100.183,0.008
357,730,0.1,100.179,0.01
358,730,0.1,100.177,0.011
359,730,0.1,100.209,-0.004
360,730,0.1,100.228,-0.013
361,730,0.1,100.238,-0.018
362,730,0.1,100.57,-0.183
363,730,0.1,100.646,-0.221
364,730,0.1,100.711,-0.254
365,730,0.1,100.678,-0.237
366,730,0.1,100.803,-0.299
367,730,0.1,100.93,-0.361
368,730,0.1,100.589,-0.193
369,730,0.1,100.728,-0.263
370,730,0.1,100.679,-0.237
371,730,0.1,100.514,-0.156
372,730,0.1,100.516,-0.157
373,730,0.1,100.549,-0.173
374,730,0.1,100.708,-0.252
375,730,0.1,100.613,-0.206
376,730,0.1,100.589,-0.193
377,730,0.1,100.526,-0.162
378,730,0.1,100.406,-0.103
379,730,0.1,100.432,-0.115
380,730,0.1,100.501,-0.149
381,730,0.1,100.439,-0.119
382,730,0.1,100.489,-0.143
383,730,0.1,100.534,-0.166
384,730,0.1,100.474,-0.136
385,730,0.1,100.463,-0.13
386,730,0.1,100.522,-0.16
387,730,0.1,100.478,-0.138
388,730,0.1,100.471,-0.134
389,730,0.1,100.496,-0.147
390,730,0.1,100.458,-0.128
391,730,0.1,100.437,-0.117
392,730,0.1,100.425,-0.112
393,730,0.1,100.425,-0.112
394,730,0.1,100.436,-0.117
395,730,0.1,100.468,-0.134
396,730,0.1,100.454,-0.127
397,730,0.1,100.537,-0.167
398,730,0.1,100.511,-0.154
399,730,0.1,100.553,-0.175
400,730,0.1,100.503,-0.152
401,730,0.1,100.54,-0.169
402,730,0.1,100.636,-0.216
403,730,0.1,100.625,-0.211
404,730,0.1,100.829,-0.311
405,730,0.1,100.872,-0.333
406,730,0.1,100.62,-0.208
407,730,0.1,100.581,-0.189
408,730,0.1,100.395,-0.098
409,730,0.1,100.496,-0.147
410,730,0.1,100.685,-0.241
411,730,0.1,100.452,-0.125
412,730,0.1,100.483,-0.14
413,730,0.1,100.546,-0.172
414,730,0.1,100.474,-0.136
415,730,0.1,100.467,-0.133
416,730,0.1,100.433,-0.115
417,730,0.1,100.485,-0.141
418,730,0.1,100.461,-0.13
419,730,0.1,100.481,-0.139
420,730,0.1,100.458,-0.129
421,730,0.1,100.456,-0.127
422,730,0.1,100.399,-0.099
423,730,0.005,100.263,-0.126
424,730,0.005,100.27,-0.13
425,730,0.005,100.262,-0.125
426,730,0.005,100.243,-0.116
427,730,0.005,100.263,-0.126
428,730,0.005,100.269,-0.129
429,730,0.005,100.242,-0.115
430,730,0.005,100.205,-0.097
431,730,0.005,100.253,-0.121
432,730,0.005,100.196,-0.093
433,730,0.005,100.119,-0.054
434,730,0.005,100.051,-0.02
435,730,0.005,100.062,-0.025
436,730,0.005,100.118,-0.054
437,730,0.005,100.127,-0.058
438,730,0.005,100.109,-0.049
